Filename,minimum,maximum,average,U1,U2,U3,U4
0277_MWIR.jpg,0.484821,2.157104,1.5285736784491193,-25.650372863425254,-7.7295085621419215,-2.1936638368048746,-2.2434993034804886
0278_MWIR.jpg,0.463215,2.178421,1.528091176177226,-25.65280876054181,-7.730235449810067,-2.1938731721167364,-2.2437177587031436
0279_MWIR.jpg,0.463196,2.178429,1.535067666147872,-25.617592848460745,-7.719737849742681,-2.1908493377872036,-2.24055759883192
0280_MWIR.jpg,0.441593,2.178429,1.5484249182210128,-25.550167486965332,-7.699637276966759,-2.1850594334776705,-2.2345073043057755
0281_MWIR.jpg,0.463219,2.263493,1.566745975272138,-25.457684101016163,-7.672062953451623,-2.177116940563614,-2.2262090847391804
0282_MWIR.jpg,0.463219,2.199684,1.5802998714836105,-25.38926139536454,-7.651653771150025,-2.17123871213911,-2.2200711275796574
0283_MWIR.jpg,0.441608,2.263512,1.5860797920254404,-25.360087357904757,-7.642961589052829,-2.1687347006346753,-2.2174524234589508
0284_MWIR.jpg,0.506378,2.199718,1.5941951548312132,-25.31911987701117,-7.630742833188623,-2.165215402848121,-2.2137771840167084
0285_MWIR.jpg,0.484737,2.157158,1.5996983316597357,-25.291339593552884,-7.622458500017066,-2.1628292734003614,-2.2112848144765214
0286_MWIR.jpg,0.463066,2.199715,1.5887131842129403,-25.346791473505874,-7.638990822287934,-2.167591252374382,-2.216260424309793
0287_MWIR.jpg,0.506256,2.178425,1.620212184500367,-25.187784543291034,-7.591576967513578,-2.1539345205040124,-2.2019942288539087
0288_MWIR.jpg,0.549477,2.263535,1.6351909561735567,-25.1121741396616,-7.569036687504308,-2.147441881804044,-2.1952094583123722
